ITEM,PRICE,QUANTITY,TOTAL PRICE,SOURCE,Ordered,Owned,LINK,,Other useful links
Mainboard SKR Mini E3 V3,48.65,1,48.65,Aliexpress,FALSE,FALSE,https://www.aliexpress.us/item/3256803334065221.html,https://www.aliexpress.us/item/3256805856202739.html,https://www.printables.com/model/822947-protoxtruder-20
BlTouch clone,7.57,1,7.57,Aliexpress,FALSE,FALSE,https://www.aliexpress.us/item/3256803153352100.html,,
Aluminum bed,18.95,1,18.95,Aliexpress,FALSE,FALSE,https://www.aliexpress.us/item/3256803443772403.html,,
Magnetic bed + PEI,9.93,1,9.93,Aliexpress,FALSE,FALSE,https://www.aliexpress.us/item/3256805924671351.html,,
Silicon bed heater,10.36,1,10.36,Aliexpress,FALSE,FALSE,https://www.aliexpress.us/item/3256806496223222.html,,
MGN9H 150mm linear rails,9.6,4,38.4,Aliexpress,FALSE,FALSE,https://www.aliexpress.us/item/2255800576028509.html,https://www.aliexpress.us/item/3256806500590774.html,
MGN9H 250mm linear rails,9.86,3,29.58,Aliexpress,FALSE,FALSE,https://www.aliexpress.us/item/2255800576028509.html,,
Extruder + Motor,44.37,1,44.37,Aliexpress,FALSE,FALSE,https://www.aliexpress.us/item/3256808501961686.html,https://www.aliexpress.us/item/3256809124725479.html,https://www.aliexpress.us/item/3256806673799666.html
Hotend (V6),10.99,1,10.99,Aliexpress,FALSE,FALSE,https://www.aliexpress.us/item/3256803006376690.html,https://www.aliexpress.us/item/3256807747601434.html,
Stepper motors (need at least 4),39.95,1,39.95,Aliexpress,FALSE,FALSE,https://www.aliexpress.us/item/3256808837281579.html,,
4M-9MM-2GT belt,18.36,1,18.36,Aliexpress,FALSE,FALSE,https://www.aliexpress.us/item/2251832766081359.html,,
"Pulley for steppers (5 pack, 20t 10mm 5mm bore)",3.42,1,3.42,Aliexpress,FALSE,FALSE,https://www.aliexpress.us/item/3256801747103853.html,,
Idler pulley,1.16,4,4.64,Aliexpress,FALSE,FALSE,https://www.aliexpress.us/item/2251832631013486.html,,
300W Power supply,19.42,1,19.42,Aliexpress,FALSE,FALSE,https://www.aliexpress.us/item/3256808542915771.html,https://www.aliexpress.us/item/3256807751853477.html,
4010 Blower (part cooling),1.96,1,1.96,Aliexpress,FALSE,FALSE,https://www.aliexpress.us/item/3256803185681643.html,,
Raspberry Pi Zero 2 W (for octoprint),14.99,1,14.99,Other,FALSE,FALSE,https://www.microcenter.com/product/643085/raspberry-pi-zero-2-w-arm-cortex-a53-quad-core-processor-512mb-lpddr2-ram,https://vilros.com/products/raspberry-pi-zero-2-w?variant=41045751529566,
M5 25mm dowels (for idlers),5.79,1,5.79,Aliexpress,FALSE,FALSE,https://www.aliexpress.us/item/2255800287548941.html,,
,,1,0,Aliexpress,FALSE,FALSE,,,
,,1,0,Other,FALSE,FALSE,,,
,,1,0,Other,FALSE,FALSE,,,
,,1,0,Other,FALSE,FALSE,,,
,,1,0,Other,FALSE,FALSE,,,
,,1,0,Other,FALSE,FALSE,,,
,,1,0,Other,FALSE,FALSE,,,
,,1,0,Aliexpress,FALSE,FALSE,,,
,,Necessary total:,327.33,,,,,,
,,With tax:,347.788125,,,,,,
